Date,Week No. ,Offer Type,Country,Vendor Name,Brand Name,Device Name,Device Capacity,Price Segmnet ,Tariff Name,Tariff Type,Tariff Segment,Upfront Cost ,Stickee TMC,Corrected TMC,Device Monthly Cost ,Tariff Term,Stickee TCO,Calculated TCO,Calculated TCO TI,Total Disc.,Total Disc. TI,Effective Price ,Effective Price TI,Cash Disc. ,Phone Plan Disc. ,Rate Plan Disc. ,W.Avg TI Disc,TI (Apple),TI (Samsung),TI (Google),Total Comp Offers ,GWP,Gift Card ,Free Susbcription ,PWP,Promotional Code 
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,30,58,58,-,24,1422,1422,1241,0,181,1422,1060,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,No Frills 125GB,Data Plan,Ultra Premium,50,62,62,-,24,1538,1538,1357,0,181,1538,1176,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,No Frills 5GB,Data Plan,Standard,120,65,65,-,24,1680,1680,1499,0,181,1680,1318,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22 Ultra,128GB,Ultra Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,81,81,-,24,1974,1974,1816,0,158,1974,1659,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12,128GB,Mid Segment,Essentials 5GB,Data Plan,Standard,60,52,48,-,24,1212,1212,935,96,277,1116,658,0,0,96,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12,128GB,Mid Segment,No Frills 125GB,Data Plan,Ultra Premium,40,50,50,-,24,1240,1240,1059,0,181,1240,878,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7a,128GB,Entry Premium Segment,No Frills Unlimited,Unlimited Plan,Unlimited,20,39,39,-,24,956,956,575,240,381,716,194,0,0,240,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,67,63,-,24,1542,1542,1265,96,277,1446,988,0,0,96,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,30,89,83,-,24,2022,2022,1697,144,325,1878,1372,0,0,144,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A54,128GB,Entry Premium Segment,Full Works,Data Plan,Ultra Premium,0,67,67,-,24,1608,1608,1450,0,158,1608,1293,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,Essential 120GB,Data Plan,Ultra Premium,0,59,59,-,24,1416,1416,1235,0,181,1416,1054,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22,128GB,Mid Segment,Essentials 25GB,Data Plan,Premium,50,61,39,-,24,986,986,300,528,686,458,-385,0,0,528,158,166,229,66,151,,,,151,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,All Round iPhone 25GB,Data Plan,Premium,50,65,65,-,24,1610,1610,1429,0,181,1610,1248,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A54,128GB,Entry Premium Segment,Essentials 1GB,Data Plan,Standard,80,39,39,-,24,1016,1016,858,0,158,1016,701,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7 Pro,128GB,Premium Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,10,71,71,-,24,1714,1714,1237,336,477,1378,760,0,0,336,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7 Pro,128GB,Premium Segment,No Frills 25GB,Data Plan,Premium,90,58,58,-,24,1482,1482,1005,336,477,1146,528,0,0,336,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,Full Works,Data Plan,Ultra Premium,30,75,75,-,24,1830,1830,1672,0,158,1830,1515,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22 Ultra,128GB,Ultra Premium Segment,Full Works,Data Plan,Ultra Premium,30,99,99,-,24,2406,2406,2248,0,158,2406,2091,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,Z Flip4,128GB,Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,57,57,-,24,1398,1398,1240,0,158,1398,1083,0,0,0,158,166,229,66,151,,,,151,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7 Pro,128GB,Premium Segment,All Rounder 25GB,Data Plan,Premium,70,67,67,-,24,1678,1678,1201,336,477,1342,724,0,0,336,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,No Frills 25GB,Data Plan,Premium,70,54,54,-,24,1366,1366,1185,0,181,1366,1004,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,All Rounder Unlimited,Unlimited Plan,Unlimited,0,46,46,-,24,1104,1104,946,0,158,1104,789,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22 Ultra,128GB,Ultra Premium Segment,All Rounder 125GB,Data Plan,Ultra Premium,30,87,87,-,24,2118,2118,1960,0,158,2118,1803,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,0,41,41,-,24,984,984,843,0,141,984,702,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,No Frills Unlimited,Unlimited Plan,Unlimited,50,65,65,-,24,1610,1610,1429,0,181,1610,1248,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,All Rounder 25GB,Data Plan,Premium,50,63,63,-,24,1562,1562,1404,0,158,1562,1247,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S23,128GB,Mid Segment,Essentials 5GB,Data Plan,Standard,100,56,56,-,24,1444,1444,1286,0,158,1444,1129,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,30,71,71,-,24,1734,1734,1553,0,181,1734,1372,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,65,65,-,24,1590,1590,1409,0,181,1590,1228,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,No Frills 5GB,Data Plan,Standard,70,27,27,-,24,718,718,577,0,141,718,436,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iSE (2022),128GB,Entry Premium Segment,All Rounder iPhone 125GB,Data Plan,Ultra Premium,30,55,55,-,24,1350,1350,1169,0,181,1350,988,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7,128GB,Mid Segment,No Frills Unlimited,Unlimited Plan,Unlimited,30,45,45,-,24,1110,1110,969,0,141,1110,828,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,Essentials Unlimited,Unlimited Plan,Unlimited,0,50,40,-,24,960,960,562,240,398,720,165,0,0,240,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,Essential 100GB,Data Plan,Ultra Premium,0,56,56,-,24,1344,1344,927,236,417,1108,510,0,0,236,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7 Pro,128GB,Premium Segment,No Frills 5GB,Data Plan,Standard,120,53,53,-,24,1392,1392,915,336,477,1056,438,0,0,336,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,Full Works,Data Plan,Ultra Premium,0,55,55,-,24,1320,1320,1162,0,158,1320,1005,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,Full Works iPhone,Data Plan,Ultra Premium,30,65,65,-,24,1590,1590,1409,0,181,1590,1228,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7,128GB,Mid Segment,Essentials 25GB,Data Plan,Premium,30,45,45,-,24,1110,1110,969,0,141,1110,828,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,Essentials 25GB,Data Plan,Premium,50,59,59,-,24,1466,1466,1049,236,417,1230,632,0,0,236,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 11,128GB,Entry Premium Segment,No Frills 125GB,Data Plan,Ultra Premium,40,46,46,-,24,1144,1144,963,0,181,1144,782,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12 Mini,128GB,Mid Segment,No Frills 125GB,Data Plan,Ultra Premium,50,46,46,-,24,1154,1154,973,0,181,1154,792,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,Essentials 125GB,Data Plan,Ultra Premium,30,61,61,-,24,1494,1494,1313,0,181,1494,1132,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,All Rounder 125GB,Data Plan,Ultra Premium,0,47,47,-,24,1128,1128,987,0,141,1128,846,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,All Round iPhone 25GB,Data Plan,Premium,50,49,49,-,24,1226,1226,1045,0,181,1226,864,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12,128GB,Mid Segment,No Frills 25GB,Data Plan,Premium,80,48,48,-,24,1232,1232,1051,0,181,1232,870,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,Full Works iPhone,Data Plan,Ultra Premium,30,89,89,-,24,2166,2166,1985,0,181,2166,1804,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7a,128GB,Entry Premium Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,0,45,45,-,24,1080,1080,699,240,381,840,318,0,0,240,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7,128GB,Mid Segment,All Rounder Unlimited,Unlimited Plan,Unlimited,10,54,54,-,24,1306,1306,1165,0,141,1306,1024,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,71,67,-,24,1638,1638,1361,96,277,1542,1084,0,0,96,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,All Rounder Unlimited,Unlimited Plan,Unlimited,30,68,68,-,24,1662,1662,1504,0,158,1662,1347,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,No Frills Unlimited,Unlimited Plan,Unlimited,50,49,49,-,24,1226,1226,1045,0,181,1226,864,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials 25GB,Data Plan,Premium,50,59,59,-,24,1466,1466,1285,0,181,1466,1104,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,All Rounder Unlimited,Unlimited Plan,Unlimited,0,52,52,-,24,1248,1248,1107,0,141,1248,966,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,30,74,74,-,24,1806,1806,1625,0,181,1806,1444,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,Essentials 5GB,Data Plan,Standard,50,30,30,-,24,770,770,629,0,141,770,488,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,Z Flip4,128GB,Premium Segment,Essential 120GB,Data Plan,Ultra Premium,0,62,62,-,24,1488,1488,1330,0,158,1488,1173,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 11,128GB,Entry Premium Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,20,60,60,-,24,1460,1460,1279,0,181,1460,1098,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,No Frills Unlimited,Unlimited Plan,Unlimited,20,43,43,-,24,1052,1052,911,0,141,1052,770,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,Z Flip4,128GB,Premium Segment,No Frills Unlimited,Unlimited Plan,Unlimited,50,55,55,-,24,1370,1370,1212,0,158,1370,1055,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,79,75,-,24,1830,1830,1553,96,277,1734,1276,0,0,96,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials 5GB,Data Plan,Standard,100,54,54,-,24,1396,1396,1215,0,181,1396,1034,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,Full Works iPhone,Data Plan,Ultra Premium,30,81,81,-,24,1974,1974,1793,0,181,1974,1612,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,No Frills 5GB,Data Plan,Standard,120,51,51,-,24,1344,1344,1186,0,158,1344,1029,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A54,128GB,Entry Premium Segment,No Frills 1GB,Data Plan,Standard,100,36,36,-,24,964,964,806,0,158,964,649,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,All Rounder iPhone 125GB,Data Plan,Ultra Premium,30,85,85,-,24,2070,2070,1889,0,181,2070,1708,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,0,35,35,-,24,840,840,682,0,158,840,525,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A54,128GB,Entry Premium Segment,No Frills 25GB,Data Plan,Premium,50,44,44,-,24,1106,1106,948,0,158,1106,791,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12,128GB,Mid Segment,No Frills 1GB,Data Plan,Standard,120,42,42,-,24,1128,1128,947,0,181,1128,766,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,30,72,72,-,24,1758,1758,1577,0,181,1758,1396,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials Unlimited,Unlimited Plan,Unlimited,30,68,68,-,24,1662,1662,1481,0,181,1662,1300,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,30,73,67,-,24,1638,1638,1313,144,325,1494,988,0,0,144,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,Z Flip4,128GB,Premium Segment,All Rounder 125GB,Data Plan,Ultra Premium,30,63,63,-,24,1542,1542,1384,0,158,1542,1227,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,All Round iPhone 5GB,Data Plan,Standard,80,60,60,-,24,1520,1520,1339,0,181,1520,1158,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,No Frills 125GB,Data Plan,Ultra Premium,20,38,38,-,24,932,932,791,0,141,932,650,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12 Mini,128GB,Mid Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,30,55,55,-,24,1350,1350,1169,0,181,1350,988,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 11,128GB,Entry Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,20,49,49,-,24,1196,1196,1015,0,181,1196,834,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S23,128GB,Mid Segment,All Rounder 5GB,Data Plan,Standard,100,62,62,-,24,1588,1588,1430,0,158,1588,1273,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,All Round iPhone 25GB,Data Plan,Premium,50,81,81,-,24,1994,1994,1813,0,181,1994,1632,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro Max,128GB,Ultra Premium Segment,All Round iPhone 25GB,Data Plan,Premium,50,69,69,-,24,1706,1706,1525,0,181,1706,1344,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,Essentials 25GB,Data Plan,Premium,50,61,57,-,24,1418,1418,1141,96,277,1322,864,0,0,96,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22,128GB,Mid Segment,All Rounder Unlimited,Unlimited Plan,Unlimited,30,48,48,-,24,1182,1182,1024,0,158,1182,867,0,0,0,158,166,229,66,151,,,,151,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,No Frills 25GB,Data Plan,Premium,70,54,54,-,24,1366,1366,1208,0,158,1366,1051,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7a,128GB,Entry Premium Segment,Essentials Unlimited,Unlimited Plan,Unlimited,0,52,42,-,24,1008,1008,627,240,381,768,246,0,0,240,141,166,229,66,0,,,,,
